date,Bitcoin
18/05/2012,54
19/05/2012,47
20/05/2012,42
21/05/2012,63
22/05/2012,56
23/05/2012,60
24/05/2012,45
25/05/2012,50
26/05/2012,48
27/05/2012,61
28/05/2012,50
29/05/2012,50
30/05/2012,52
31/05/2012,44
1/06/2012,72
2/06/2012,67
3/06/2012,52
4/06/2012,55
5/06/2012,60
6/06/2012,62
7/06/2012,67
8/06/2012,69
9/06/2012,95
10/06/2012,89
11/06/2012,76
12/06/2012,82
13/06/2012,100
14/06/2012,73
15/06/2012,79
16/06/2012,78
17/06/2012,84
18/06/2012,77
19/06/2012,75
20/06/2012,79
21/06/2012,67
22/06/2012,56
23/06/2012,78
24/06/2012,71
25/06/2012,64
26/06/2012,70
27/06/2012,72
28/06/2012,69
29/06/2012,68
30/06/2012,79
1/07/2012,69
2/07/2012,61
3/07/2012,60
4/07/2012,54
5/07/2012,44
6/07/2012,59
7/07/2012,58
8/07/2012,65
9/07/2012,100
10/07/2012,75
11/07/2012,80
12/07/2012,62
13/07/2012,64
14/07/2012,70
15/07/2012,71
16/07/2012,71
17/07/2012,75
18/07/2012,78
19/07/2012,95
20/07/2012,86
21/07/2012,87
22/07/2012,62
23/07/2012,60
24/07/2012,65
25/07/2012,69
26/07/2012,75
27/07/2012,67
28/07/2012,50
29/07/2012,71
30/07/2012,65
31/07/2012,84
1/08/2012,44
2/08/2012,51
3/08/2012,55
4/08/2012,42
5/08/2012,60
6/08/2012,50
7/08/2012,53
8/08/2012,54
9/08/2012,60
10/08/2012,58
11/08/2012,44
12/08/2012,65
13/08/2012,60
14/08/2012,61
15/08/2012,71
16/08/2012,66
17/08/2012,83
18/08/2012,73
19/08/2012,82
20/08/2012,63
21/08/2012,100
22/08/2012,84
23/08/2012,78
24/08/2012,73
25/08/2012,61
26/08/2012,57
27/08/2012,51
28/08/2012,58
29/08/2012,67
30/08/2012,63
31/08/2012,44
1/09/2012,33
2/09/2012,28
3/09/2012,27
4/09/2012,32
5/09/2012,100
6/09/2012,84
7/09/2012,50
8/09/2012,45
9/09/2012,47
10/09/2012,37
11/09/2012,39
12/09/2012,33
13/09/2012,32
14/09/2012,32
15/09/2012,28
16/09/2012,36
17/09/2012,36
18/09/2012,36
19/09/2012,41
20/09/2012,36
21/09/2012,27
22/09/2012,30
23/09/2012,32
24/09/2012,34
25/09/2012,29
26/09/2012,35
27/09/2012,37
28/09/2012,34
29/09/2012,36
30/09/2012,33
1/10/2012,96
2/10/2012,100
3/10/2012,83
4/10/2012,75
5/10/2012,72
6/10/2012,63
7/10/2012,66
8/10/2012,70
9/10/2012,79
10/10/2012,79
11/10/2012,95
12/10/2012,77
13/10/2012,55
14/10/2012,73
15/10/2012,52
16/10/2012,77
17/10/2012,77
18/10/2012,66
19/10/2012,81
20/10/2012,81
21/10/2012,73
22/10/2012,61
23/10/2012,51
24/10/2012,68
25/10/2012,50
26/10/2012,60
27/10/2012,54
28/10/2012,57
29/10/2012,48
30/10/2012,67
31/10/2012,52
1/11/2012,34
2/11/2012,36
3/11/2012,43
4/11/2012,50
5/11/2012,47
6/11/2012,40
7/11/2012,44
8/11/2012,35
9/11/2012,40
10/11/2012,43
11/11/2012,45
12/11/2012,46
13/11/2012,46
14/11/2012,37
15/11/2012,41
16/11/2012,76
17/11/2012,53
18/11/2012,56
19/11/2012,55
20/11/2012,46
21/11/2012,47
22/11/2012,45
23/11/2012,45
24/11/2012,49
25/11/2012,49
26/11/2012,62
27/11/2012,52
28/11/2012,100
29/11/2012,69
30/11/2012,51
1/12/2012,57
2/12/2012,59
3/12/2012,53
4/12/2012,47
5/12/2012,53
6/12/2012,65
7/12/2012,70
8/12/2012,81
9/12/2012,100
10/12/2012,80
11/12/2012,84
12/12/2012,70
13/12/2012,67
14/12/2012,63
15/12/2012,61
16/12/2012,55
17/12/2012,59
18/12/2012,58
19/12/2012,50
20/12/2012,42
21/12/2012,33
22/12/2012,46
23/12/2012,53
24/12/2012,48
25/12/2012,53
26/12/2012,44
27/12/2012,44
28/12/2012,48
29/12/2012,53
30/12/2012,51
31/12/2012,46
1/01/2013,43
2/01/2013,58
3/01/2013,65
4/01/2013,64
5/01/2013,84
6/01/2013,83
7/01/2013,63
8/01/2013,68
9/01/2013,72
10/01/2013,75
11/01/2013,66
12/01/2013,74
13/01/2013,72
14/01/2013,61
15/01/2013,53
16/01/2013,57
17/01/2013,72
18/01/2013,63
19/01/2013,64
20/01/2013,67
21/01/2013,65
22/01/2013,66
23/01/2013,81
24/01/2013,100
25/01/2013,69
26/01/2013,67
27/01/2013,65
28/01/2013,79
29/01/2013,95
30/01/2013,93
31/01/2013,98
1/02/2013,72
2/02/2013,83
3/02/2013,68
4/02/2013,59
5/02/2013,54
6/02/2013,68
7/02/2013,52
8/02/2013,59
9/02/2013,56
10/02/2013,60
11/02/2013,63
12/02/2013,80
13/02/2013,63
14/02/2013,80
15/02/2013,83
16/02/2013,74
17/02/2013,85
18/02/2013,93
19/02/2013,79
20/02/2013,86
21/02/2013,75
22/02/2013,81
23/02/2013,87
24/02/2013,75
25/02/2013,82
26/02/2013,76
27/02/2013,77
28/02/2013,100
1/03/2013,24
2/03/2013,20
3/03/2013,22
4/03/2013,21
5/03/2013,28
6/03/2013,35
7/03/2013,33
8/03/2013,30
9/03/2013,29
10/03/2013,31
11/03/2013,28
12/03/2013,43
13/03/2013,32
14/03/2013,26
15/03/2013,24
16/03/2013,24
17/03/2013,27
18/03/2013,31
19/03/2013,39
20/03/2013,47
21/03/2013,61
22/03/2013,64
23/03/2013,66
24/03/2013,51
25/03/2013,55
26/03/2013,58
27/03/2013,72
28/03/2013,88
29/03/2013,100
30/03/2013,88
31/03/2013,83
1/04/2013,26
2/04/2013,30
3/04/2013,44
4/04/2013,44
5/04/2013,36
6/04/2013,30
7/04/2013,32
8/04/2013,43
9/04/2013,54
10/04/2013,82
11/04/2013,100
12/04/2013,86
13/04/2013,53
14/04/2013,46
15/04/2013,43
16/04/2013,39
17/04/2013,34
18/04/2013,32
19/04/2013,26
20/04/2013,21
21/04/2013,20
22/04/2013,21
23/04/2013,24
24/04/2013,22
25/04/2013,21
26/04/2013,20
27/04/2013,17
28/04/2013,18
29/04/2013,18
30/04/2013,16
1/05/2013,91
2/05/2013,93
3/05/2013,100
4/05/2013,75
5/05/2013,76
6/05/2013,76
7/05/2013,69
8/05/2013,61
9/05/2013,68
10/05/2013,62
11/05/2013,58
12/05/2013,59
13/05/2013,66
14/05/2013,64
15/05/2013,69
16/05/2013,68
17/05/2013,65
18/05/2013,63
19/05/2013,73
20/05/2013,68
21/05/2013,58
22/05/2013,53
23/05/2013,52
24/05/2013,52
25/05/2013,48
26/05/2013,44
27/05/2013,48
28/05/2013,59
29/05/2013,65
30/05/2013,59
31/05/2013,56
1/06/2013,87
2/06/2013,100
3/06/2013,94
4/06/2013,83
5/06/2013,82
6/06/2013,89
7/06/2013,83
8/06/2013,81
9/06/2013,97
10/06/2013,91
11/06/2013,92
12/06/2013,89
13/06/2013,77
14/06/2013,72
15/06/2013,68
16/06/2013,70
17/06/2013,71
18/06/2013,78
19/06/2013,72
20/06/2013,71
21/06/2013,74
22/06/2013,69
23/06/2013,75
24/06/2013,86
25/06/2013,78
26/06/2013,76
27/06/2013,79
28/06/2013,73
29/06/2013,72
30/06/2013,93
1/07/2013,63
2/07/2013,100
3/07/2013,72
4/07/2013,62
5/07/2013,61
6/07/2013,57
7/07/2013,51
8/07/2013,55
9/07/2013,52
10/07/2013,51
11/07/2013,48
12/07/2013,52
13/07/2013,50
14/07/2013,47
15/07/2013,50
16/07/2013,46
17/07/2013,44
18/07/2013,44
19/07/2013,43
20/07/2013,43
21/07/2013,40
22/07/2013,48
23/07/2013,49
24/07/2013,51
25/07/2013,49
26/07/2013,44
27/07/2013,40
28/07/2013,43
29/07/2013,45
30/07/2013,52
31/07/2013,56
1/08/2013,58
2/08/2013,60
3/08/2013,61
4/08/2013,69
5/08/2013,75
6/08/2013,64
7/08/2013,60
8/08/2013,72
9/08/2013,69
10/08/2013,59
11/08/2013,63
12/08/2013,78
13/08/2013,81
14/08/2013,100
15/08/2013,86
16/08/2013,78
17/08/2013,75
18/08/2013,82
19/08/2013,96
20/08/2013,90
21/08/2013,92
22/08/2013,82
23/08/2013,69
24/08/2013,68
25/08/2013,68
26/08/2013,72
27/08/2013,80
28/08/2013,79
29/08/2013,69
30/08/2013,67
31/08/2013,69
1/09/2013,90
2/09/2013,84
3/09/2013,86
4/09/2013,89
5/09/2013,91
6/09/2013,83
7/09/2013,75
8/09/2013,86
9/09/2013,96
10/09/2013,78
11/09/2013,81
12/09/2013,83
13/09/2013,76
14/09/2013,71
15/09/2013,75
16/09/2013,80
17/09/2013,80
18/09/2013,77
19/09/2013,73
20/09/2013,100
21/09/2013,89
22/09/2013,77
23/09/2013,90
24/09/2013,88
25/09/2013,79
26/09/2013,85
27/09/2013,78
28/09/2013,81
29/09/2013,77
30/09/2013,85
1/10/2013,14
2/10/2013,31
3/10/2013,54
4/10/2013,33
5/10/2013,26
6/10/2013,21
7/10/2013,22
8/10/2013,21
9/10/2013,21
10/10/2013,18
11/10/2013,15
12/10/2013,15
