time,price
8/21/2017,4002.50
8/20/2017,4064.30
8/19/2017,4145.10
8/18/2017,4090.20
8/17/2017,4260.00
8/16/2017,4386.30
8/15/2017,4151.90
8/14/2017,4319.50
8/13/2017,4053.30
8/12/2017,3865.50
8/11/2017,3644.10
8/10/2017,3407.90
8/9/2017,3339.90
8/8/2017,3415.00
8/7/2017,3396.70
8/6/2017,3227.90
8/5/2017,3256.40
8/4/2017,2860.00
8/3/2017,2790.30
8/2/2017,2702.00
8/1/2017,2731.20
7/31/2017,2856.00
7/30/2017,2749.00
7/29/2017,2714.10
7/28/2017,2784.80
7/27/2017,2664.90
7/26/2017,2525.70
7/25/2017,2560.90
7/24/2017,2769.70
7/23/2017,2747.50
7/22/2017,2845.70
7/21/2017,2664.00
7/20/2017,2856.30
7/19/2017,2253.10
7/18/2017,2302.10
7/17/2017,2219.00
7/16/2017,1924.90
7/15/2017,1978.60
7/14/2017,2205.10
7/13/2017,2329.00
7/12/2017,2374.40
7/11/2017,2282.10
7/10/2017,2318.30
7/9/2017,2478.00
7/8/2017,2542.00
7/7/2017,2479.30
7/6/2017,2593.10
7/5/2017,2598.50
7/4/2017,2582.60
7/3/2017,2524.00
7/2/2017,2445.00
7/1/2017,2349.50
6/30/2017,2420.70
6/29/2017,2470.10
6/28/2017,2518.20
6/27/2017,2521.20
6/26/2017,2394.60
6/25/2017,2477.70
6/24/2017,2502.60
6/23/2017,2674.90
6/22/2017,2672.80
6/21/2017,2621.20
6/20/2017,2712.20
6/19/2017,2580.80
6/18/2017,2491.50
6/17/2017,2610.00
6/16/2017,2437.00
6/15/2017,2377.40
6/14/2017,2395.00
6/13/2017,2676.40
6/12/2017,2571.80
6/11/2017,2936.30
6/10/2017,2806.00
6/9/2017,2809.00
6/8/2017,2782.10
6/7/2017,2642.60
6/6/2017,2843.60
6/5/2017,2636.20
6/4/2017,2488.20
6/3/2017,2461.00
6/2/2017,2405.90
6/1/2017,2311.60
5/31/2017,2191.80
5/30/2017,2146.70
5/29/2017,2207.40
5/28/2017,2056.60
5/27/2017,1972.30
5/26/2017,2127.30
5/25/2017,2252.00
5/24/2017,2394.80
5/23/2017,2249.30
5/22/2017,2085.50
5/21/2017,2029.20
5/20/2017,2059.70
5/19/2017,1966.50
5/18/2017,1941.50
5/17/2017,1870.00
5/16/2017,1785.70
5/15/2017,1772.50
5/14/2017,1828.10
5/13/2017,1820.40
5/12/2017,1735.00
5/11/2017,1853.90
5/10/2017,1796.80
5/9/2017,1760.00
5/8/2017,1703.20
5/7/2017,1619.90
5/6/2017,1597.10
5/5/2017,1545.10
5/4/2017,1607.10
5/3/2017,1617.80
5/2/2017,1560.00
5/1/2017,1533.10
4/30/2017,1435.20
4/29/2017,1423.60
4/28/2017,1415.60
4/27/2017,1440.30
4/26/2017,1399.30
4/25/2017,1370.30
4/24/2017,1345.00
4/23/2017,1355.20
4/22/2017,1347.50
4/21/2017,1325.60
4/20/2017,1308.40
4/19/2017,1260.50
4/18/2017,1265.40
4/17/2017,1240.00
4/16/2017,1212.00
4/15/2017,1193.30
4/14/2017,1206.80
4/13/2017,1187.00
4/12/2017,1227.40
4/11/2017,1235.60
4/10/2017,1220.30
4/9/2017,1215.90
4/8/2017,1188.10
4/7/2017,1196.60
4/6/2017,1191.50
4/5/2017,1140.60
4/4/2017,1145.00
4/3/2017,1150.20
4/2/2017,1107.60
4/1/2017,1093.20
3/31/2017,1081.70
3/30/2017,1041.00
3/29/2017,1041.80
3/28/2017,1044.70
3/27/2017,1042.70
3/26/2017,969.00
3/25/2017,972.20
3/24/2017,943.10
3/23/2017,1033.00
3/22/2017,1039.10
3/21/2017,1115.00
3/20/2017,1039.00
3/19/2017,1016.10
3/18/2017,971.00
3/17/2017,1068.40
3/16/2017,1169.00
3/15/2017,1256.10
3/14/2017,1245.00
3/13/2017,1238.50
3/12/2017,1225.20
3/11/2017,1172.80
3/10/2017,1113.60
3/9/2017,1190.40
3/8/2017,1149.30
3/7/2017,1232.40
3/6/2017,1279.30
3/5/2017,1278.40
3/4/2017,1267.80
3/3/2017,1288.20
3/2/2017,1262.30
3/1/2017,1232.80
2/28/2017,1189.10
2/27/2017,1195.50
2/26/2017,1178.30
2/25/2017,1153.00
2/24/2017,1185.10
2/23/2017,1190.90
2/22/2017,1125.30
2/21/2017,1129.60
2/20/2017,1091.20
2/19/2017,1056.20
2/18/2017,1059.80
2/17/2017,1056.20
2/16/2017,1038.40
2/15/2017,1013.80
2/14/2017,1013.70
2/13/2017,996.50
2/12/2017,996.00
2/11/2017,1000.30
2/10/2017,992.00
2/9/2017,985.00
2/8/2017,1048.80
2/7/2017,1052.10
2/6/2017,1022.60
2/5/2017,1006.60
2/4/2017,1031.10
2/3/2017,1015.70
2/2/2017,1005.70
2/1/2017,983.70
1/31/2017,966.20
1/30/2017,917.40
1/29/2017,912.60
1/28/2017,919.40
1/27/2017,916.70
1/26/2017,915.10
1/25/2017,893.30
1/24/2017,886.10
1/23/2017,910.00
1/22/2017,923.70
1/21/2017,924.00
1/20/2017,896.00
1/19/2017,900.30
1/18/2017,887.80
1/17/2017,904.00
1/16/2017,830.10
1/15/2017,820.70
1/14/2017,815.30
1/13/2017,828.10
1/12/2017,804.60
1/11/2017,778.60
1/10/2017,905.80
1/9/2017,903.00
1/8/2017,915.90
1/7/2017,908.80
1/6/2017,898.00
1/5/2017,1003.20
1/4/2017,1139.60
1/3/2017,1037.50
1/2/2017,1019.30
1/1/2017,999.00
12/31/2016,966.60
12/30/2016,959.30
12/29/2016,972.60
12/28/2016,981.70
12/27/2016,936.30
12/26/2016,906.40
12/25/2016,898.00
12/24/2016,895.20
12/23/2016,919.00
12/22/2016,859.20
12/21/2016,830.00
12/20/2016,798.00
12/19/2016,790.60
12/18/2016,790.20
12/17/2016,791.00
12/16/2016,784.20
12/15/2016,777.40
12/14/2016,774.50
12/13/2016,775.00
12/12/2016,778.00
12/11/2016,770.20
12/10/2016,772.90
12/9/2016,770.50
12/8/2016,765.00
12/7/2016,765.00
12/6/2016,757.40
12/5/2016,750.60
12/4/2016,768.50
12/3/2016,765.30
12/2/2016,774.90
12/1/2016,755.40
11/30/2016,739.00
11/29/2016,731.00
11/28/2016,731.50
11/27/2016,725.00
11/26/2016,731.20
11/25/2016,740.40
11/24/2016,737.70
11/23/2016,742.00
11/22/2016,750.00
11/21/2016,739.00
11/20/2016,729.70
11/19/2016,752.90
11/18/2016,754.00
11/17/2016,740.70
11/16/2016,745.00
11/15/2016,712.20
11/14/2016,707.40
10/31/2016,704.10
10/30/2016,702.50
10/29/2016,714.50
10/28/2016,693.50
10/27/2016,688.70
10/26/2016,678.70
10/25/2016,659.50
10/24/2016,654.70
10/23/2016,659.00
10/22/2016,665.00
10/21/2016,636.70
10/20/2016,632.50
10/19/2016,631.80
10/18/2016,638.80
10/17/2016,639.80
10/16/2016,644.20
10/15/2016,640.20
10/14/2016,643.00
10/13/2016,637.00
10/12/2016,637.60
10/11/2016,641.70
10/10/2016,618.90
10/9/2016,616.60
10/8/2016,620.50
10/7/2016,620.10
10/6/2016,613.50
10/5/2016,614.10
10/4/2016,611.00
10/3/2016,612.60
10/2/2016,609.10
10/1/2016,614.10
9/30/2016,611.10
9/29/2016,604.60
9/28/2016,603.80
9/27/2016,605.50
9/26/2016,609.10
9/25/2016,600.40
9/24/2016,602.50
9/23/2016,603.30
9/22/2016,597.10
9/21/2016,597.40
9/20/2016,600.00
9/19/2016,609.80
9/18/2016,613.00
9/17/2016,607.70
9/16/2016,610.00
9/15/2016,611.80
9/14/2016,613.90
9/13/2016,614.20
9/12/2016,611.60
9/11/2016,612.10
9/10/2016,628.00
9/9/2016,626.30
9/8/2016,631.70
9/7/2016,619.80
9/6/2016,615.20
9/5/2016,611.50
9/4/2016,614.50
9/3/2016,609.90
9/2/2016,579.80
9/1/2016,572.70
8/31/2016,576.20
8/30/2016,579.50
8/29/2016,574.80
8/28/2016,574.20
8/27/2016,568.50
8/26/2016,578.00
8/25/2016,577.20
8/24/2016,580.30
8/23/2016,583.50
8/22/2016,588.00
8/21/2016,581.40
8/20/2016,582.00
8/19/2016,573.50
8/18/2016,572.20
8/17/2016,571.80
8/16/2016,574.20
8/15/2016,564.60
8/14/2016,569.40
8/13/2016,583.70
8/12/2016,585.50
8/11/2016,591.30
8/10/2016,590.30
8/9/2016,604.10
8/8/2016,604.10
8/7/2016,604.10
8/6/2016,0.00
8/5/2016,0.00
8/4/2016,0.00
8/3/2016,0.00
8/2/2016,604.00
8/1/2016,608.00
7/31/2016,623.70
7/30/2016,655.00
7/29/2016,658.30
7/27/2016,654.50
7/26/2016,648.50
7/25/2016,654.20
7/24/2016,661.80
7/23/2016,654.00
7/22/2016,648.00
7/21/2016,665.00
7/20/2016,665.80
7/19/2016,675.00
7/18/2016,674.30
7/17/2016,683.20
7/16/2016,665.30
7/15/2016,665.50
7/14/2016,659.80
7/13/2016,653.70
7/12/2016,667.20
7/11/2016,648.00
7/10/2016,649.70
7/9/2016,648.10
7/8/2016,664.80
7/7/2016,640.50
7/6/2016,677.00
7/5/2016,667.80
7/4/2016,681.30
7/3/2016,659.30
7/2/2016,705.00
7/1/2016,674.80
6/30/2016,674.70
6/29/2016,639.70
6/28/2016,646.30
6/27/2016,662.20
6/26/2016,627.40
6/25/2016,664.90
6/24/2016,666.00
6/23/2016,625.80
6/22/2016,606.00
6/21/2016,668.90
6/20/2016,743.90
6/19/2016,767.30
6/18/2016,757.60
6/17/2016,748.70
6/16/2016,769.50
6/15/2016,696.90
6/14/2016,684.50
6/13/2016,705.90
6/12/2016,671.00
6/11/2016,614.50
6/10/2016,580.10
6/9/2016,575.50
6/8/2016,583.00
6/7/2016,576.90
6/6/2016,585.20
6/5/2016,574.00
6/4/2016,572.70
6/3/2016,570.90
6/2/2016,538.80
6/1/2016,536.80
5/31/2016,530.70
5/30/2016,532.90
5/29/2016,531.00
5/28/2016,527.00
5/27/2016,472.00
5/26/2016,454.00
5/25/2016,449.10
5/24/2016,445.00
5/23/2016,443.70
5/22/2016,437.50
5/21/2016,440.80
5/20/2016,441.60
5/19/2016,435.00
5/18/2016,453.50
5/17/2016,453.20
5/16/2016,453.00
5/15/2016,457.90
5/14/2016,455.80
5/13/2016,455.80
5/12/2016,455.00
5/11/2016,452.30
5/10/2016,450.70
5/9/2016,461.60
5/8/2016,459.90
5/7/2016,460.20
5/6/2016,461.20
5/5/2016,448.40
5/4/2016,447.40
5/3/2016,450.40
5/2/2016,443.70
5/1/2016,451.10
4/30/2016,446.60
4/29/2016,455.30
4/28/2016,450.50
4/27/2016,445.10
4/26/2016,468.10
4/25/2016,461.80
4/24/2016,463.00
4/23/2016,453.70
4/22/2016,447.80
4/21/2016,452.00
4/20/2016,444.00
4/19/2016,437.80
4/18/2016,430.00
4/17/2016,428.50
4/16/2016,432.00
4/15/2016,431.50
4/14/2016,426.00
4/13/2016,424.80
4/12/2016,426.60
4/11/2016,423.70
4/10/2016,421.30
4/9/2016,418.50
4/8/2016,418.50
4/7/2016,422.30
4/6/2016,422.60
4/5/2016,423.80
4/4/2016,420.50
4/3/2016,420.60
4/2/2016,420.30
4/1/2016,417.60
3/31/2016,416.00
3/30/2016,413.20
3/29/2016,415.80
3/28/2016,424.10
3/27/2016,427.40
3/26/2016,416.70
3/25/2016,416.00
3/24/2016,415.30
3/23/2016,418.10
3/22/2016,417.70
3/21/2016,411.90
3/20/2016,411.30
3/19/2016,408.40
3/18/2016,407.70
3/17/2016,418.80
3/16/2016,417.30
3/15/2016,415.50
3/14/2016,416.00
3/13/2016,411.80
3/12/2016,410.00
3/11/2016,420.50
3/10/2016,416.50
3/9/2016,412.90
3/8/2016,411.40
3/7/2016,412.70
3/6/2016,403.90
3/5/2016,397.40
3/4/2016,408.80
3/3/2016,420.60
3/2/2016,422.20
3/1/2016,434.80
2/29/2016,439.20
2/28/2016,434.50
2/27/2016,434.20
2/26/2016,435.30
2/25/2016,424.90
2/24/2016,426.40
2/23/2016,421.10
2/22/2016,440.30
2/21/2016,440.50
2/20/2016,438.70
2/19/2016,420.00
2/18/2016,421.50
2/17/2016,414.90
2/16/2016,407.30
2/15/2016,399.90
2/14/2016,408.30
2/13/2016,393.00
2/12/2016,383.00
2/11/2016,378.00
2/10/2016,380.90
2/9/2016,374.00
2/8/2016,370.50
2/7/2016,372.00
2/6/2016,373.80
2/5/2016,386.50
2/4/2016,389.80
2/3/2016,369.00
2/2/2016,372.90
2/1/2016,371.40
1/31/2016,365.50
1/30/2016,377.00
1/29/2016,377.60
1/28/2016,378.40
1/27/2016,395.00
1/26/2016,391.30
1/25/2016,391.00
1/24/2016,402.80
1/23/2016,385.60
1/22/2016,381.00
1/21/2016,411.00
1/20/2016,419.40
1/19/2016,379.00
1/18/2016,387.00
1/17/2016,382.10
1/16/2016,388.40
1/15/2016,358.90
1/14/2016,429.30
1/13/2016,431.10
1/12/2016,432.00
1/11/2016,449.30
1/10/2016,449.40
1/9/2016,449.20
1/8/2016,454.00
1/7/2016,459.00
1/6/2016,428.00
1/5/2016,431.80
1/4/2016,432.90
1/3/2016,428.70
1/2/2016,432.70
1/1/2016,434.00
12/31/2015,429.00
12/30/2015,424.70
12/29/2015,431.90
12/28/2015,420.20
12/27/2015,422.40
12/26/2015,416.50
