date,volume
2013-07-06,215660.64166076988
2013-07-07,155451.20474673
2013-07-08,226004.2899244901
2013-07-09,379718.5597135999
2013-07-10,308148.0546352501
2013-07-11,272371.83879750007
2013-07-12,281110.16750312014
2013-07-13,300592.2184357299
2013-07-14,149433.12476393004
2013-07-15,176194.72069405002
2013-07-16,232756.69708505992
2013-07-17,396981.9868265698
2013-07-18,448990.59074077004
2013-07-19,188610.63940035
2013-07-20,119391.31528708005
2013-07-21,158308.95815656005
2013-07-22,229899.61915
2013-07-23,332366.9009713101
2013-07-24,234050.33231386985
2013-07-25,198727.34080563002
2013-07-26,246644.96399876004
2013-07-27,115105.29993903008
2013-07-28,138134.53019534
2013-07-29,190492.7393743899
2013-07-30,225728.50498636998
2013-07-31,241425.57072729
2013-08-01,243907.4732366201
